ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;DEZ;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3989,435
1990;JAN;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;18160,259
1990;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;8468,703
1990;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;8437,562
1990;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;12316,078
1990;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;7786,402
1990;ABR;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;10140,217
1990;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;7699,082
1990;DEZ;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;14351,777
1990;NOV;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;19016,844
1990;OUT;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;12746,58
1990;SET;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;15500,054
1990;AGO;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;12898,727
1990;JUL;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;15582,66
1990;JUN;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;13379,255
1990;MAI;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;12661,087
1990;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;9990,147
1990;ABR;REGIÃO NORDESTE;CEARÁ;ETANOL HIDRATADO;21346,975
1990;MAI;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;5947,391
1990;JUL;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;7508,708
1990;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;7024,977
1990;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;8296,403
1990;MAR;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;6385,067
1990;JAN;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;4137,585
1990;SET;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3714,4
1990;AGO;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3226,597
1990;JUL;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;4002,313
1990;JUN;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3836,841
1990;JUN;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;6680,644
1990;MAI;REGIÃO NORDESTE;PIAUÍ;ETANOL HIDRATADO;3754,58
